2018-12-20 08:10:22 startup archives unpack
2018-12-20 08:10:22 upgrade base-files:amd64 9.4ubuntu4.5 9.4ubuntu4.7
2018-12-20 08:10:22 status half-configured base-files:amd64 9.4ubuntu4.5
2018-12-20 08:10:22 status unpacked base-files:amd64 9.4ubuntu4.5
2018-12-20 08:10:22 status half-installed base-files:amd64 9.4ubuntu4.5
2018-12-20 08:10:22 status triggers-pending man-db:amd64 2.7.5-1
2018-12-20 08:10:22 status half-installed base-files:amd64 9.4ubuntu4.5
2018-12-20 08:10:22 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:22 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:22 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-20 08:10:22 status half-configured man-db:amd64 2.7.5-1
2018-12-20 08:10:23 status installed man-db:amd64 2.7.5-1
2018-12-20 08:10:23 startup packages configure
2018-12-20 08:10:23 configure base-files:amd64 9.4ubuntu4.7 <none>
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status unpacked base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status half-configured base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 status installed base-files:amd64 9.4ubuntu4.7
2018-12-20 08:10:23 startup archives unpack
2018-12-20 08:10:23 upgrade bsdutils:amd64 1:2.27.1-6ubuntu3.3 1:2.27.1-6ubuntu3.6
2018-12-20 08:10:23 status half-configured bsdutils:amd64 1:2.27.1-6ubuntu3.3
2018-12-20 08:10:23 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.3
2018-12-20 08:10:23 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3.3
2018-12-20 08:10:23 status triggers-pending man-db:amd64 2.7.5-1
2018-12-20 08:10:24 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3.3
2018-12-20 08:10:24 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.6
2018-12-20 08:10:24 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.6
2018-12-20 08:10:24 trigproc man-db:amd64 2.7.5-1 <none>
2018-12-20 08:10:24 status half-configured man-db:amd64 2.7.5-1
2018-12-20 08:10:24 status installed man-db:amd64 2.7.5-1
2018-12-20 08:10:24 startup packages configure
2018-12-20 08:10:24 configure bsdutils:amd64 1:2.27.1-6ubuntu3.6 <none>
2018-12-20 08:10:24 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.6
2018-12-20 08:10:24 status half-configured bsdutils:amd64 1:2.27.1-6ubuntu3.6
2018-12-20 08:10:24 status installed bsdutils:amd64 1:2.27.1-6ubuntu3.6
2018-12-20 08:10:24 startup archives unpack
2018-12-20 08:10:24 upgrade dpkg:amd64 1.18.4ubuntu1.2 1.18.4ubuntu1.5
2018-12-20 08:10:24 status half-configured dpkg:amd64 1.18.4ubuntu1.2
2018-12-20 08:10:24 status unpacked dpkg:amd64 1.18.4ubuntu1.2
